,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,Qualified,MDP_1_Ru,0.0384407146724418,0.5503875968992248,2.808193070367039
0,Qualified,ATEMP_300_400,0.02057390362750406,0.2945736434108527,2.022593008847007
0,Qualified,CL_0.3_0.6,0.017866811044937737,0.2558139534883721,2.0191810773206122
0,Qualified,ATIME_180_360,0.02273957769355712,0.3255813953488372,1.873360863580381
0,Qualified,LSV_0_5,0.017325392528424473,0.24806201550387597,1.8624818806327597
0,Qualified,MDP_2_Ru,0.016242555495397944,0.23255813953488372,1.7045035068290881
0,Qualified,HTEMP_RTEMP,0.03898213318895506,0.5581395348837209,1.5502010841056129
0,Qualified,HTIME_720_1440,0.016242555495397944,0.23255813953488372,1.4270261917638878
0,Qualified,ATIME_120_180,0.01570113697888468,0.2248062015503876,1.361367391028085
0,Qualified,EPC_OVER1,0.05414185165132648,0.7751937984496124,1.3087595482051502
0,Qualified,SL_0,0.047644829453167295,0.6821705426356588,1.277859018507162
0,Qualified,Carbon Paper,0.02165674066053059,0.31007751937984496,1.2211368407133767
0,Qualified,MDP1PP_100,0.016783974011911208,0.24031007751937986,1.2193755856546553
0,Qualified,MDP2PP_0,0.016783974011911208,0.24031007751937986,1.2127123310882366
0,Qualified,Hydrothermal Weak Reductant in Liquid_False,0.06172171088251218,0.883720930232558,1.2072726021742122
