,Log (Decay Rate) (mV/h)
0,0.447158031
1,0.698970004
2,0.176091259
3,0.301029996
4,-0.744727495
5,-0.251811973
6,-0.585026652
7,-0.193820026
8,-1.22184875
9,0.017033339
10,0.648360011
11,0.931966115
12,1.306853749
13,-3.92
14,-0.420216403
15,0.781036939
16,-0.075720714
17,1.136720567
18,0.235528447
19,1.049218023
20,0.924279286
21,-2.0
22,0.176091259
23,0.029383778
24,-0.244125144
25,0.278753601
26,0.28780173
27,0.049218023
28,0.079181246
29,0.025305865
30,0.041392685
31,-1.397940009
32,0.932473765
33,0.071882007
34,0.23299611
35,0.389166084
36,1.58172216
37,1.492760389
38,2.247285703
39,2.267640982
40,-0.508638306
41,0.907411361
42,1.204119983
43,0.431363764
44,-0.356547324
45,1.016197354
46,0.403120521
47,0.989894564
48,0.711807229
49,0.45484486
50,0.324282455
51,0.890421019
52,0.328379603
53,0.230448921
54,0.45484486
55,0.753583059
56,0.26245109
57,-0.397940009
58,-2.0
59,0.806179974
60,0.409933123
61,-0.468521083
62,0.477121255
63,0.488550717
64,0.071882007
65,0.698970004
66,0.69019608
67,1.921166051
68,-1.698970004
69,0.380211242
70,0.397940009
71,0.361727836
72,1.731508184
73,0.012837225
74,-2.05
75,-3.25
76,-2.45
77,0.336459734
78,0.713490543
79,0.875061263
80,1.0
81,1.033423755
82,1.462397998
83,-0.958607315
84,2.426511261
85,0.491361694
86,0.896526217
87,0.838849091
88,0.635483747
89,0.46686762
90,0.790285164
91,-0.193820026
92,-0.107905397
93,0.481442629
94,-0.26760624
95,0.267171728
96,-0.301029996
97,0.563481085
98,1.395151592
99,1.57333584
100,0.947433722
101,0.136720567
102,-0.301029996
103,0.681241237
104,1.113943352
105,1.618048097
106,1.829303773
107,-0.259637311
108,-0.397940009
109,2.359835482
110,0.755874856
111,-1.045757491
112,0.437750563
113,0.460897843
114,0.469822016
115,0.712649702
116,1.971275849
117,0.564666064
118,0.614897216
119,0.702430536
120,1.508798965
121,0.371067862
122,0.790285164
123,0.672097858
124,-2.01
125,-2.07
126,0.662757832
127,0.73239376
128,0.1430148
129,-0.37675071
130,0.803457116
131,0.506505032
132,0.5132176
133,0.598790507
134,0.711807229
135,0.912222057
136,0.769377326
137,-0.602059991
138,-0.408935393
139,1.507451061
140,0.06069784
141,0.537819095
142,0.921166051
143,0.84509804
144,1.610660163
145,0.071882007
146,0.864511081
147,0.58546073
148,0.579783597
149,1.113943352
150,0.1430148
151,0.670245853
152,1.018700499
153,1.540954809
154,0.64246452
155,1.138618434
156,0.064457989
157,0.243038049
158,1.212720154
159,0.824125834
160,0.255272505
161,1.023663918
162,0.737192643
163,0.79518459
164,0.698970004
165,0.783903579
166,1.193124598
167,0.949390007
168,0.404833717
169,0.311753861
170,1.686636269
171,1.243038049
172,0.653212514
173,-0.200659451
174,0.954242509
175,0.740362689
176,1.183554534
177,2.001430812
178,1.176958981
179,0.997386384
180,1.346157302
181,1.519959181
182,0.522444234
183,0.096910013
184,-0.698970004
185,-0.585026652
186,0.948412966
187,0.597695186
188,1.763427994
189,0.301029996
190,1.334453751
191,0.681241237
192,0.51851394
193,0.491361694
194,-0.744727495
195,0.660865478
196,0.902002891
197,1.289811839
198,0.113943352
199,1.672559628
200,1.196176185
201,1.601190533
202,0.136720567
203,-0.366531544
204,0.959518377
205,0.757396029
206,-2.37
207,-2.46
208,-1.15490196
209,0.190331698
210,0.413299764
211,0.10720997
212,0.0
213,-1.397940009
214,-1.522878745
215,0.707570176
216,-2.0
217,0.877946952
218,0.831229694
219,0.680335513
220,-0.142667504
221,-0.148741651
222,0.309630167
223,0.390935107
224,1.24723655
225,0.855519156
226,0.311753861
227,0.399673721
228,-1.096910013
229,-0.638272164
230,-0.022276395
231,0.021189299
232,-0.408935393
233,-0.37675071
234,-0.552841969
235,0.607455023
236,0.970346876
237,0.689308859
238,0.498310554
239,0.704150517
240,0.418301291
241,0.08278537
242,0.5774918
243,0.883093359
244,1.735997884
245,0.498310554
246,0.760422483
247,0.653212514
248,0.653212514
249,1.447158031
250,0.62324929
251,0.788875116
252,-0.045757491
253,1.210853365
254,-0.065501549
255,0.193124598
256,0.336459734
257,1.273001272
258,0.604226053
259,1.198657087
260,1.375663614
261,1.525044807
262,0.544068044
263,-0.15490196
264,0.397940009
265,0.421603927
266,1.2955671
267,1.572523098
268,1.659535907
269,0.334453751
270,-0.455931956
271,0.542825427
272,0.527629901
273,0.338456494
274,0.29666519
275,0.451786436
276,0.632457292
277,0.507855872
278,1.041392685
279,-0.698970004
280,0.450249108
281,1.830331993
282,1.210586025
283,1.12904506
284,-0.420216403
285,0.017033339
286,0.758154622
287,0.706717782
288,0.892651034
289,0.670245853
290,0.854306042
291,0.831869774
292,0.636487896
293,-0.958607315
294,-2.04
295,0.403120521
296,-1.045757491
297,1.14082218
298,-1.698970004
299,-0.48148606
300,2.18684337
301,1.405858399
302,0.903632516
303,0.660865478
304,0.788168371
305,0.820857989
306,0.301029996
307,0.416640507
308,0.46686762
309,1.255272505
310,-1.522878745
311,0.033423755
312,1.2219356
313,2.345118765
314,0.707570176
315,1.070037867
316,0.85308953
317,0.832508913
318,0.1430148
319,0.053078443
320,-0.455931956
321,0.283301229
322,0.382017043
323,-2.01
324,0.045322979
325,1.453624074
326,2.102021857
327,0.896526217
328,0.411619706
329,-1.698970004
330,1.269512944
331,-0.060480747
332,0.271841607
333,-0.22184875
334,-0.552841969
335,-0.075720714
336,0.586587305
337,0.371067862
338,-1.15490196
339,0.356025857
340,-0.638272164
341,-1.602059991
342,-0.638272164
343,-0.48148606
344,1.014100322
